1.411,0.113
1.411,0.109
1.411,0.105
1.411,0.102
1.411,0.099
1.411,0.095
1.411,0.092
1.411,0.089
1.411,0.086
1.411,0.083
1.411,0.079
1.411,0.076
1.411,0.073
1.411,0.071
1.411,0.068
1.411,0.065
1.411,0.062
1.411,0.059
1.411,0.056
1.411,0.053
1.411,0.051
1.411,0.048
1.411,0.045
1.411,0.042
1.411,0.039
1.411,0.036
1.411,0.034
1.411,0.031
1.411,0.028
1.411,0.025
1.411,0.022
1.411,0.019
1.411,0.016
1.411,0.013
1.411,0.010
1.411,0.006
1.411,0.003
1.411,-0.000
1.411,-0.004
1.411,-0.007
1.411,-0.011
1.411,-0.014
1.411,-0.018
1.411,-0.022
1.411,-0.026
1.411,-0.030
1.411,-0.034
1.411,-0.039
1.411,-0.043
1.411,-0.048
1.411,-0.053
1.411,-0.059
1.411,-0.064
1.410,-0.069
1.411,-0.076
1.411,-0.083
1.411,-0.090
1.410,-0.096
1.412,-0.105
1.412,-0.114
1.412,-0.123
1.410,-0.131
1.412,-0.143
1.411,-0.153
1.410,-0.165
1.410,-0.178
1.410,-0.194
1.411,-0.212
1.412,-0.234
1.410,-0.250
1.412,-0.280
1.410,-0.303
1.412,-0.346
1.411,-0.381
1.409,-0.424
1.408,-0.476
1.414,-0.584
1.413,-0.685
1.413,-0.825
1.412,-1.032
1.402,-1.245
1.369,-1.245
1.336,-1.245
1.304,-1.245
1.271,-1.245
1.239,-1.245
1.206,-1.245
1.173,-1.245
1.049,-1.995
1.171,-0.817
1.171,-0.689
1.171,-0.593
1.171,-0.518
1.171,-0.458
1.171,-0.409
1.171,-0.369
1.171,-0.334
1.171,-0.304
1.171,-0.278
1.171,-0.256
1.171,-0.236
1.167,-0.225
1.020,-0.495
1.002,-0.495
0.984,-0.495
0.966,-0.495
0.947,-0.495
0.927,-0.495
0.915,-0.483
0.915,-0.456
0.915,-0.430
0.915,-0.406
0.915,-0.384
0.915,-0.362
0.915,-0.342
0.915,-0.323
0.915,-0.305
0.915,-0.287
0.915,-0.271
0.915,-0.255
0.915,-0.239
0.915,-0.224
0.915,-0.210
0.915,-0.196
0.915,-0.183
0.915,-0.170
0.915,-0.157
0.915,-0.145
0.915,-0.133
0.916,-0.122
0.916,-0.110
0.916,-0.099
0.916,-0.088
0.916,-0.077
0.916,-0.067
0.916,-0.056
0.916,-0.046
0.916,-0.036
0.916,-0.026
0.916,-0.016
0.916,-0.006
0.916,0.004
0.916,0.014
0.916,0.023
0.916,0.033
0.916,0.043
0.916,0.052
0.916,0.062
0.916,0.072
0.916,0.081
0.916,0.091
0.916,0.101
0.916,0.111
0.916,0.121
0.916,0.131
0.916,0.141
0.916,0.151
0.916,0.161
0.916,0.172
0.916,0.183
0.916,0.193
0.916,0.205
0.916,0.216
0.916,0.227
0.916,0.239
0.920,0.249
0.940,0.251
1.358,0.113
1.358,0.109
1.358,0.106
1.358,0.102
1.358,0.099
1.358,0.095
1.358,0.092
1.358,0.089
1.358,0.086
1.358,0.083
1.358,0.079
1.358,0.076
1.358,0.073
1.358,0.071
1.358,0.068
1.358,0.065
1.358,0.062
1.358,0.059
1.358,0.056
1.358,0.053
1.358,0.051
1.358,0.048
1.358,0.045
1.358,0.042
1.358,0.039
1.358,0.036
1.358,0.033
1.358,0.031
1.358,0.028
1.358,0.025
1.358,0.022
1.358,0.019
1.359,0.016
1.359,0.013
1.359,0.009
1.359,0.006
1.359,0.003
1.359,-0.000
1.359,-0.004
1.359,-0.007
1.359,-0.011
1.359,-0.014
1.359,-0.018
1.359,-0.022
1.359,-0.026
1.359,-0.030
1.359,-0.034
1.359,-0.039
1.359,-0.044
1.359,-0.048
1.359,-0.053
1.359,-0.059
1.359,-0.064
1.358,-0.069
1.359,-0.076
1.359,-0.083
1.359,-0.090
1.358,-0.096
1.359,-0.106
1.359,-0.114
1.359,-0.123
1.358,-0.131
1.359,-0.143
1.358,-0.154
1.358,-0.165
1.358,-0.179
1.358,-0.194
1.359,-0.212
1.360,-0.234
1.357,-0.250
1.359,-0.280
1.357,-0.303
1.360,-0.347
1.359,-0.382
1.357,-0.424
1.356,-0.477
1.362,-0.585
1.361,-0.686
1.360,-0.826
1.360,-1.034
1.345,-1.193
1.314,-1.193
1.282,-1.193
1.251,-1.193
1.220,-1.193
1.189,-1.193
1.157,-1.193
1.126,-1.193
1.002,-1.943
1.118,-0.816
1.118,-0.688
1.118,-0.592
1.118,-0.517
1.118,-0.458
1.118,-0.409
1.118,-0.368
1.118,-0.334
1.118,-0.304
1.118,-0.278
1.118,-0.255
1.118,-0.235
1.118,-0.217
1.118,-0.201
1.118,-0.186
1.118,-0.173
1.111,-0.173
0.928,-0.443
0.910,-0.442
0.892,-0.442
0.873,-0.442
0.863,-0.430
0.863,-0.406
0.863,-0.384
0.863,-0.362
0.863,-0.342
0.863,-0.323
0.863,-0.305
0.863,-0.287
0.863,-0.270
0.863,-0.254
0.863,-0.239
0.863,-0.224
0.863,-0.210
0.863,-0.196
0.863,-0.183
0.863,-0.170
0.863,-0.157
0.863,-0.145
0.863,-0.133
0.863,-0.121
0.863,-0.110
0.863,-0.099
0.863,-0.088
0.863,-0.077
0.863,-0.067
0.863,-0.056
0.863,-0.046
0.863,-0.036
0.863,-0.026
0.863,-0.016
0.863,-0.006
0.863,0.004
0.863,0.014
0.863,0.023
0.863,0.033
0.863,0.043
0.863,0.052
0.863,0.062
0.863,0.072
0.864,0.081
0.864,0.091
0.864,0.101
0.864,0.111
0.864,0.121
0.864,0.131
0.864,0.141
